Symbol,name of the company,ISIN number
AGRITECH,Agri-Tech (India) Limited,INE449G01018
AGROPHOS,Agro Phos India Limited,INE740V01019
AGSTRA,AGS Transact Technologies Limited,INE583L01014
AHCL,Anlon Healthcare Limited,INE0Y8W01017
AHLADA,Ahlada Engineers Limited,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029
AIAENG,AIA Engineering Limited,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,INE206F01022
AIRAN,Airan Limited,INE645W01026
AIROLAM,Airo Lam limited,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,INE031B01049
AJAXENGG,Ajax Engineering Limited,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,INE298G01035
AJOONI,Ajooni Biotech Limited,INE820Y01021
AKASH,Akash Infra-Projects Limited,INE737W01013
AKG,Akg Exim Limited,INE00Y801016
AKI,AKI India Limited,INE642Z01026
AKSHAR,Akshar Spintex Limited,INE256Z01025
AKSHARCHEM,AksharChem India Limited,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023
AKZOINDIA,Akzo Nobel India Limited,INE133A01011
ALANKIT,Alankit Limited,INE914E01040
ALBERTDAVD,Albert David Limited,INE155C01010
ALEMBICLTD,Alembic Limited,INE426A01027
ALGOQUANT,Algoquant Fintech Limited,INE598D01035
ALICON,Alicon Castalloy Limited,INE062D01024
ALIVUS,Alivus Life Sciences Limited,INE03Q201024
ALKALI,Alkali Metals Limited,INE773I01017
ALKEM,Alkem Laboratories Limited,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039
ALLCARGO,Allcargo Logistics Limited,INE418H01029
ALLDIGI,Alldigi Tech Limited,INE835G01018
ALLTIME,All Time Plastics Limited,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,INE326B01035
ALOKINDS,Alok Industries Limited,INE270A01029
ALPA,Alpa Laboratories Limited,INE385I01010
ALPHAGEO,Alphageo (India) Limited,INE137C01018
AMAGI,Amagi Media Labs Limited,INE121R01077
AMANTA,Amanta Healthcare Limited,INE084K01015
AMBER,Amber Enterprises India Limited,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014
AMBUJACEM,Ambuja Cements Limited,INE079A01024
AMDIND,AMD Industries Limited,INE005I01014
AMJLAND,Amj Land Holdings Limited,INE606A01024
AMNPLST,Amines & Plasticizers Limited,INE275D01022
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026
ANANTRAJ,Anant Raj Limited,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021
ANGELONE,Angel One Limited,INE732I01021
ANIKINDS,Anik Industries Limited,INE087B01017
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010
ANMOL,Anmol India Limited,INE02AR01019
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017
ANTGRAPHIC,Antarctica Limited,INE414B01021
ANTHEM,Anthem Biosciences Limited,INE0CZ201020
ANUHPHR,Anuh Pharma Limited,INE489G01022
ANUP,The Anup Engineering Limited,INE294Z01018
ANURAS,Anupam Rasayan India Limited,INE930P01018
APARINDS,Apar Industries Limited,INE372A01015
APCL,Anjani Portland Cement Limited,INE071F01012
APCOTEXIND,Apcotex Industries Limited,INE116A01032
APEX,Apex Frozen Foods Limited,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018
APOLLO,Apollo Micro Systems Limited,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024
APTECHT,Aptech Limited,INE266F01018
APTUS,Aptus Value Housing Finance India Limited,INE852O01025
AQYLON,Aqylon Nexus Limited,INE416A01051
ARCHIDPLY,Archidply Industries Limited,INE877I01016
ARCHIES,Archies Limited,INE731A01020
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032
ARENTERP,Rajdarshan Industries Limited,INE610C01014
ARFIN,Arfin India Limited,INE784R01023
ARIES,Aries Agro Limited,INE298I01015
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018
ARIS,Arisinfra Solutions Limited,INE0H9P01028
ARKADE,Arkade Developers Limited,INE0QRL01017
ARMANFIN,Arman Financial Services Limited,INE109C01017
AROGRANITE,Aro Granite Industries Limited,INE210C01013
ARROWGREEN,Arrow Greentech Limited,INE570D01018
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021
ARTNIRMAN,Art Nirman Limited,INE738V01013
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016
ARVIND,Arvind Limited,INE034A01011
ARVINDFASN,Arvind Fashions Limited,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023
ASHIANA,Ashiana Housing Limited,INE365D01021
ASHIMASYN,Ashima Limited,INE440A01010
ASHOKA,Ashoka Buildcon Limited,INE442H01029
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011
ASHOKLEY,Ashok Leyland Limited,INE208A01029
ASIANENE,Asian Energy Services Limited,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022
ASIANPAINT,Asian Paints Limited,INE021A01026
ASIANTILES,Asian Granito India Limited,INE022I01019
ASKAUTOLTD,ASK Automotive Limited,INE491J01022
ASMS,Bartronics India Limited,INE855F01042
ASPINWALL,Aspinwall and Company Limited,INE991I01015
ASTEC,Astec LifeSciences Limited,INE563J01010
ASTERDM,Aster DM Healthcare Limited,INE914M01019
ASTRAL,Astral Limited,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020
ASTRON,Astron Paper & Board Mill Limited,INE646X01014
ATALREAL,Atal Realtech Limited,INE0ALR01029
ATAM,Atam Valves Limited,INE09KD01013
ATGL,Adani Total Gas Limited,INE399L01023
ATHERENERG,Ather Energy Limited,INE0LEZ01016
ATL,Allcargo Terminals Limited,INE0NN701020
ATLANTAA,ATLANTAA LIMITED,INE285H01022
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025
ATUL,Atul Limited,INE100A01010
ATULAUTO,Atul Auto Limited,INE951D01028
AUBANK,AU Small Finance Bank Limited,INE949L01017
AURIGROW,Auri Grow India Limited,INE925Y01036
AURIONPRO,Aurionpro Solutions Limited,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037
AURUM,Aurum PropTech Limited,INE898S01029
AUSOMENT,Ausom Enterprise Limited,INE218C01016
AUTOAXLES,Automotive Axles Limited,INE449A01011
AUTOIND,Autoline Industries Limited,INE718H01014
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017
AVALON,Avalon Technologies Limited,INE0LCL01028
AVANTEL,Avantel Limited,INE005B01027
AVANTIFEED,Avanti Feeds Limited,INE871C01038
AVG,AVG Logistics Limited,INE680Z01018
AVL,Aditya Vision Limited,INE679V01027
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024
AVROIND,AVRO INDIA LIMITED,INE652Z01017
AVTNPL,AVT Natural Products Limited,INE488D01021
AWFIS,Awfis Space Solutions Limited,INE108V01019
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022
AWL,AWL Agri Business Limited,INE699H01024
AXISBANK,Axis Bank Limited,INE238A01034
AXISCADES,AXISCADES Technologies Limited,INE555B01013
AXITA,Axita Cotton Limited,INE02EZ01022
AYE,Aye Finance Limited,INE501X01029
AYMSYNTEX,AYM Syntex Limited,INE193B01039
AZAD,Azad Engineering Limited,INE02IJ01035
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022
BAGFILMS,B.A.G Films and Media Limited,INE116D01028
BAIDFIN,Baid Finserv Limited,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021
BAJEL,Bajel Projects Limited,INE0KQN01018
BAJFINANCE,Bajaj Finance Limited,INE296A01032
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011
BALAJITELE,Balaji Telefilms Limited,INE794B01026
BALAMINES,Balaji Amines Limited,INE050E01027
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011
BALKRISIND,Balkrishna Industries Limited,INE787D01026
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016
BALPHARMA,Bal Pharma Limited,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028
BALUFORGE,Balu Forge Industries Limited,INE011E01029
BANARBEADS,Banaras Beads Limited,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,INE459A01010
BANCOINDIA,Banco Products (I) Limited,INE213C01025
BANDHANBNK,Bandhan Bank Limited,INE545U01014
BANG,Bang Overseas Limited,INE863I01016
BANKA,Banka BioLoo Limited,INE862Y01015
BANKBARODA,Bank of Baroda,INE028A01039
BANKINDIA,Bank of India,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,INE629D01020
BASF,BASF India Limited,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,INE186H01022
BATAINDIA,Bata India Limited,INE176A01028
BAYERCROP,Bayer Cropscience Limited,INE462A01022
BBL,Bharat Bijlee Limited,INE464A01036
BBOX,Black Box Limited,INE676A01027
BBTC,The Bombay Burmah Trading Corporation Limited,INE050A01025
BBTCL,B&B Triplewall Containers Limited,INE01EE01011
BCG,Brightcom Group Limited,INE425B01027
BCLIND,Bcl Industries Limited,INE412G01024
BCONCEPTS,Brand Concepts Limited,INE977Y01011
BDL,Bharat Dynamics Limited,INE171Z01026
BEARDSELL,Beardsell Limited,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020
BEDMUTHA,Bedmutha Industries Limited,INE844K01012
BEL,Bharat Electronics Limited,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014
BELRISE,Belrise Industries Limited,INE894V01022
BEML,BEML Limited,INE258A01024
BEPL,Bhansali Engineering Polymers Limited,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,INE463A01038
BESTAGRO,Best Agrolife Limited,INE052T01021
BETA,Beta Drugs Limited,INE351Y01019
BFINVEST,BF Investment Limited,INE878K01010
BFUTILITIE,BF Utilities Limited,INE243D01012
BGRENERGY,BGR Energy Systems Limited,INE661I01014
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027
BHAGERIA,Bhageria Industries Limited,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,INE458B01036
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029
BHARATCOAL,Bharat Coking Coal Limited,INE05XR01022
BHARATFORG,Bharat Forge Limited,INE465A01025
BHARATGEAR,Bharat Gears Limited,INE561C01019
BHARATRAS,Bharat Rasayan Limited,INE838B01021
BHARATSE,Bharat Seats Limited,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019
BHARTIARTL,Bharti Airtel Limited,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021
BHEL,Bharat Heavy Electricals Limited,INE257A01026
BIGBLOC,Bigbloc Construction Limited,INE412U01025
BIKAJI,Bikaji Foods International Limited,INE00E101023
BIL,Bhartiya International Limited,INE828A01016
BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013
BIOCON,Biocon Limited,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014
BIRLACABLE,Birla Cable Limited,INE800A01015
BIRLACORPN,Birla Corporation Limited,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022
BIRLANU,BirlaNu Limited,INE557A01011
BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018
BLAL,BEML Land Assets Limited,INE0N7W01012
BLBLIMITED,BLB Limited,INE791A01024
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032
BLS,BLS International Services Limited,INE153T01027
BLSE,BLS E-Services Limited,INE0NLT01010
BLUECOAST,Blue Coast Hotels Limited,INE472B01011
BLUEDART,Blue Dart Express Limited,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020
BLUESTARCO,Blue Star Limited,INE472A01039
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014
BMWVENTLTD,BMW Ventures Limited,INE965W01036
BODALCHEM,Bodal Chemicals Limited,INE338D01028
BOHRAIND,Bohra Industries Limited,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023
BONLON,Bonlon Industries Limited,INE0B9A01018
BORANA,Borana Weaves Limited,INE16SF01016
BOROLTD,Borosil Limited,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022
BOROSCI,Borosil Scientific Limited,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015
BOSCHLTD,Bosch Limited,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,INE029A01011
BPL,BPL Limited,INE110A01019
BRIGADE,Brigade Enterprises Limited,INE791I01019
BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014
BRITANNIA,Britannia Industries Limited,INE216A01030
BRNL,Bharat Road Network Limited,INE727S01012
BROOKS,Brooks Laboratories Limited,INE650L01011
BSE,BSE Limited,INE118H01025
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020
BSL,BSL Limited,INE594B01012
BSOFT,BIRLASOFT LIMITED,INE836A01035
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023
BUILDPRO,Shankara Buildpro Limited,INE24OJ01011
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017
BVCL,Barak Valley Cements Limited,INE139I01011
BYKE,The Byke Hospitality Ltd,INE319B01014
CALSOFT,California Software Company Limited,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032
CAMPUS,Campus Activewear Limited,INE278Y01022
CAMS,Computer Age Management Services Limited,INE596I01020
CANBK,Canara Bank,INE476A01022
CANFINHOME,Can Fin Homes Limited,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Limited,INE01TY01017
CANTABIL,Cantabil Retail India Limited,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014
CAPILLARY,Capillary Technologies India Limited,INE0ILV01024
CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026
CAPTRUST,Capital Trust Limited,INE707C01018
CARBORUNIV,Carborundum Universal Limited,INE120A01034
CARERATING,CARE Ratings Limited,INE752H01013
CARRARO,Carraro India Limited,INE0V7W01012
CARTRADE,Cartrade Tech Limited,INE290S01011
CARYSIL,CARYSIL LIMITED,INE482D01024
CASTROLIND,Castrol India Limited,INE172A01027
CCAVENUE,AvenuesAI Limited,INE483S01020
CCCL,Consolidated Construction Consortium Limited,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027
CCL,CCL Products (India) Limited,INE421D01022
CDSL,Central Depository Services (India) Limited,INE736A01011
CEATLTD,CEAT Limited,INE482A01020
CEIGALL,Ceigall India Limited,INE0AG901020
CEINSYS,Ceinsys Tech Limited,INE016Q01014
CELEBRITY,Celebrity Fashions Limited,INE185H01016
CELLO,Cello World Limited,INE0LMW01024
CEMPRO,Cemindia Projects Limited,INE686A01026
CENTENKA,Century Enka Limited,INE485A01015
CENTEXT,Century Extrusions Limited,INE281A01026
CENTRALBK,Central Bank of India,INE483A01010
CENTRUM,Centrum Capital Limited,INE660C01027
CENTUM,Centum Electronics Limited,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021
CERA,Cera Sanitaryware Limited,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019
CESC,CESC Limited,INE486A01021
CEWATER,Concord Enviro Systems Limited,INE037Z01029
CGCL,Capri Global Capital Limited,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029
CHALET,Chalet Hotels Limited,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013
CHEMBOND,Chembond Material Technologies Limited,INE995D01025
CHEMBONDCH,Chembond Chemicals Limited,INE0TGX01019
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018
CHEMFAB,Chemfab Alkalis Limited,INE783X01023
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016
CHEVIOT,Cheviot Company Limited,INE974B01016
CHOICEIN,Choice International Limited,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033
CIEINDIA,CIE Automotive India Limited,INE536H01010
CIFL,Capital India Finance Limited,INE345H01024
CIGNITITEC,Cigniti Technologies Limited,INE675C01017
CINELINE,Cineline India Limited,INE704H01022
CINEVISTA,Cinevista Limited,INE039B01026
CIPLA,Cipla Limited,INE059A01026
CLEAN,Clean Science and Technology Limited,INE227W01023
CLEANMAX,Clean Max Enviro Energy Solutions Limited,INE647U01026
CLEDUCATE,CL Educate Limited,INE201M01029
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026
CMSINFO,CMS Info Systems Limited,INE925R01014
CNL,Creative Newtech Limited,INE985W01018
COALINDIA,Coal India Limited,INE522F01014
COASTCORP,Coastal Corporation Limited,INE377E01024
COCHINSHIP,Cochin Shipyard Limited,INE704P01025
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011
COFORGE,Coforge Limited,INE591G01025
COHANCE,Cohance Lifesciences Limited,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,INE259A01022
COMPINFO,Compuage Infocom Limited,INE070C01037
COMPUSOFT,Compucom Software Limited,INE453B01029
COMSYN,Commercial Syn Bags Limited,INE073V01015
CONCOR,Container Corporation of India Limited,INE111A01025
CONCORDBIO,Concord Biotech Limited,INE338H01029
CONFIPET,Confidence Petroleum India Limited,INE552D01024
CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027
CONTROLPR,Control Print Limited,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021
CORDSCABLE,Cords Cable Industries Limited,INE792I01017
COROMANDEL,Coromandel International Limited,INE169A01031
CORONA,CORONA Remedies Limited,INE02ZQ01018
COSMOFIRST,COSMO FIRST LIMITED,INE757A01017
COUNCODOS,Country Condo's Limited,INE695B01025
CPCAP,CP Capital Limited,INE521J01018
CPEDU,Career Point Edutech Limited,INE0P6P01016
CPPLUS,Aditya Infotech Limited,INE819V01029
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017
CRAMC,Canara Robeco Asset Management Company Limited,INE218I01013
CREATIVEYE,Creative Eye Limited,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010
CREST,Crest Ventures Limited,INE559D01011
CRISIL,CRISIL Limited,INE007A01025
CRIZAC,Crizac Limited,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018
CROWN,Crown Lifters Limited,INE491V01019
CSBBANK,CSB Bank Limited,INE679A01013
CSLFINANCE,CSL Finance Limited,INE718F01018
CTE,Cambridge Technology Enterprises Limited,INE627H01017
CUB,City Union Bank Limited,INE491A01021
CUBEXTUB,Cubex Tubings Limited,INE144D01012
CUMMINSIND,Cummins India Limited,INE298A01020
CUPID,Cupid Limited,INE509F01029
CURAA,Cura Technologies Limited,INE117B01020
CYBERMEDIA,Cyber Media (India) Limited,INE278G01037
CYBERTECH,Cybertech Systems And Software Limited,INE214A01019
CYIENT,Cyient Limited,INE136B01020
CYIENTDLM,Cyient DLM Limited,INE055S01018
DABUR,Dabur India Limited,INE016A01026
DALBHARAT,Dalmia Bharat Limited,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022
DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025
DAMODARIND,Damodar Industries Limited,INE497D01022
DANGEE,Dangee Dums Limited,INE688Y01022
DATAMATICS,Datamatics Global Services Limited,INE365B01017
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010
DAVANGERE,Davangere Sugar Company Limited,INE179G01029
DBCORP,D.B.Corp Limited,INE950I01011
DBEIL,Deepak Builders & Engineers India Limited,INE0OPA01019
DBL,Dilip Buildcon Limited,INE917M01012
DBOL,Dhampur Bio Organics Limited,INE0I3401014
DBREALTY,Valor Estate Limited,INE879I01012
DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025
DCAL,Dishman Carbogen Amcis Limited,INE385W01011
DCBBANK,DCB Bank Limited,INE503A01015
DCI,Dc Infotech And Communication Limited,INE0A1101019
DCM,DCM  Limited,INE498A01018
DCMFINSERV,DCM Financial Services Limited,INE891B01012
DCMNVL,DCM Nouvelle Limited,INE08KP01019
DCMSHRIRAM,DCM Shriram Limited,INE499A01024
DCMSIL,DCM Shriram International Limited,INE0OU201013
DCMSRIND,DCM Shriram Industries Limited,INE843D01027
DCW,DCW Limited,INE500A01029
DCXINDIA,DCX Systems Limited,INE0KL801015
DDEVPLSTIK,Ddev Plastiks Industries Limited,INE0HR601026
DECCANCE,Deccan Cements Limited,INE583C01021
DEEDEV,DEE Development Engineers Limited,INE841L01016
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029
DEEPINDS,Deep Industries Limited,INE0FHS01024
DELHIVERY,Delhivery Limited,INE148O01028
DELPHIFX,DELPHI WORLD MONEY LIMITED,INE726L01027
DELTACORP,Delta Corp Limited,INE124G01033
DELTAMAGNT,Delta Manufacturing Limited,INE393A01011
DEN,Den Networks Limited,INE947J01015
DENORA,De Nora India Limited,INE244A01016
DENTA,Denta Water and Infra Solutions Limited,INE0R4L01018
DEVIT,Dev Information Technology Limited,INE060X01034
DEVX,Dev Accelerator Limited,INE0VOV01021
DEVYANI,Devyani International Limited,INE872J01023
DGCONTENT,Digicontent Limited,INE03JI01017
DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016
DHANBANK,Dhanlaxmi Bank Limited,INE680A01011
